WO,WD,LO,LD,Score,Date
max,andy,river,nate,2,3/4/2020
river,river,victor,victor,4,3/4/2020
river,river,victor,victor,3,3/4/2020
max,river,paul,victor,3,3/4/2020
river,max,victor,paul,3,3/4/2020
josh,max,andy,kunal,4,3/5/2020
max,josh,kunal,andy,9,3/5/2020
max,andy,krish,pietro,5,3/5/2020
river,river,victor,victor,3,3/5/2020
josh,river,paul,victor,3,3/5/2020
river,josh,victor,paul,5,3/5/2020
river,river,victor,victor,4,3/5/2020
river,nate,andonian,andy,6,3/5/2020
andy,andonian,nate,river,7,3/5/2020
andonian,andy,river,nate,6,3/5/2020
krish,nate,andy,monika,1,3/6/2020
monika,andy,nate,krish,2,3/6/2020
krish,nate,monika,andy,7,3/6/2020
river,andy,nate,pietro,1,3/6/2020
river,andy,krish,nate,2,3/6/2020
eric,river,andy,krish,9,3/6/2020
krish,andy,river,eric,5,3/6/2020
krish,andy,eric,river,4,3/6/2020
eric,eric,max,max,9,3/6/2020
victor,river,krish,max,5,3/6/2020
max,krish,river,victor,6,3/6/2020
victor,river,max,krish,6,3/6/2020
pratik,andy,lawler,max,9,3/7/2020
andy,pratik,max,lawler,5,3/7/2020
max,river,pratik,andy,8,3/7/2020
river,max,andy,pratik,9,3/7/2020
eric,eric,max,max,4,3/7/2020
eric,eric,max,max,8,3/7/2020
andy,pratik,eric,river,9,3/7/2020
pratik,andy,river,eric,5,3/7/2020
pratik,river,victor,max,2,3/7/2020
river,pratik,max,victor,1,3/7/2020
max,pratik,victor,river,5,3/7/2020
river,victor,pratik,max,9,3/7/2020
max,pratik,river,victor,6,3/7/2020
victor,river,max,claire,3,3/7/2020
claire,max,river,victor,3,3/7/2020
victor,river,claire,max,9,3/7/2020
river,river,eric,eric,4,3/7/2020
eric,eric,river,river,6,3/7/2020
river,river,eric,eric,7,3/7/2020
eric,eric,max,max,9,3/7/2020
max,max,river,river,4,3/7/2020
max,max,river,river,8,3/7/2020
river,river,victor,victor,0,3/8/2020
river,river,victor,victor,2,3/8/2020
river,river,max,max,2,3/8/2020
river,river,victor,victor,2,3/8/2020
river,river,victor,victor,5,3/8/2020
river,river,victor,victor,2,3/8/2020
river,river,victor,victor,0,3/8/2020
andy,amir,paul,max,6,3/9/2020
amir,andy,max,paul,5,3/9/2020
amir,andy,pratik,lawler,7,3/9/2020
lawler,pratik,amir,andy,4,3/9/2020
josh,nate,river,pratik,7,3/9/2020
nate,josh,pratik,river,9,3/9/2020
victor,josh,pratik,monika,1,3/10/2020
monika,pratik,josh,victor,9,3/10/2020
victor,josh,monika,pratik,6,3/10/2020
max,nate,sophie,kunal,7,3/10/2020
nate,max,kunal,sophie,7,3/10/2020
river,lawler,andonian,nate,5,3/10/2020
lawler,river,nate,andonian,3,3/10/2020
andy,nate,lawler,river,8,3/10/2020
river,lawler,nate,andy,8,3/10/2020
andy,nate,lawler,river,8,3/10/2020
victor,pietro,max,krish,8,3/10/2020
river,river,victor,victor,5,3/10/2020
paul,nate,river,victor,7,3/10/2020
victor,river,paul,nate,3,3/10/2020
victor,river,paul,nate,9,3/10/2020
max,krish,pratik,pietro,8,3/11/2020
paul,nate,pratik,max,3,3/11/2020
nate,lawler,max,pratik,9,3/11/2020
lawler,nate,pratik,max,3,3/11/2020
nate,lawler,river,victor,5,3/11/2020
victor,river,nate,lawler,6,3/11/2020
monika,river,victor,claire,7,3/11/2020
river,monika,claire,victor,6,3/11/2020
monika,river,claire,victor,6,3/11/2020
river,monika,victor,claire,7,3/11/2020
pratik,river,kunal,claire,5,3/12/2020
river,pratik,claire,kunal,3,3/12/2020
pratik,claire,river,amir,5,3/12/2020
amir,river,claire,pratik,4,3/12/2020
amir,river,pratik,claire,3,3/12/2020
amir,river,max,claire,7,3/12/2020
claire,max,river,amir,6,3/12/2020
amir,river,claire,max,7,3/12/2020
sophie,river,krish,max,4,3/13/2020
river,sophie,max,krish,8,3/13/2020
lawler,andy,river,nate,7,3/13/2020
nate,river,andy,lawler,6,3/13/2020
nate,river,lawler,andy,6,3/13/2020
claire,andy,lawler,nate,6,3/13/2020
max,river,andy,claire,6,3/13/2020
claire,andy,river,max,5,3/13/2020
max,river,claire,andy,3,3/13/2020
river,river,victor,victor,2,3/13/2020
claire,river,victor,sophie,1,3/13/2020
river,claire,sophie,victor,3,3/13/2020
max,max,victor,victor,8,3/14/2020
lawler,lawler,max,max,9,3/14/2020
lawler,lawler,max,max,8,3/14/2020
lawler,lawler,victor,victor,6,3/14/2020
lawler,lawler,victor,victor,7,3/14/2020
lawler,lawler,victor,victor,4,3/14/2020
lawler,lawler,victor,victor,7,3/14/2020
max,max,victor,victor,2,3/15/2020
lawler,lawler,victor,victor,4,3/15/2020
lawler,lawler,victor,victor,4,3/15/2020
lawler,lawler,victor,victor,3,3/15/2020
